Time,Open,High,Low,Last,Change,%Chg,Volume
"06/26/2023 20:00",585,587,583.5,585.25,0.5,+0.09%,1627
"06/26/2023 19:30",586.25,586.5,582.5,584.75,-1.5,-0.26%,2128
"06/26/2023 19:00",593.75,594.5,586,586.25,-1.75,-0.30%,16959
"06/26/2023 13:00",587.75,590.25,587.25,588,0.25,+0.04%,9717
"06/26/2023 12:30",582.5,587.75,582.25,587.75,5.5,+0.94%,4881
"06/26/2023 12:00",583.75,586,581.75,582.25,-1.5,-0.26%,4319
"06/26/2023 11:30",586,586,581,583.75,-2.25,-0.38%,11547
"06/26/2023 11:00",589.5,591,585,586,-3.5,-0.59%,8248
"06/26/2023 10:30",589,591,588.25,589.5,0.5,+0.08%,5838
"06/26/2023 10:00",588.75,589.75,586,589,0.25,+0.04%,7278
"06/26/2023 09:30",596.5,596.5,587.25,588.75,-7.75,-1.30%,14907
"06/26/2023 09:00",597.5,600.75,596,596.5,-1.25,-0.21%,13653
"06/26/2023 08:30",588,598,584.25,597.75,10.25,+1.74%,25860
"06/26/2023 07:30",589.25,589.25,587,587.5,-1.75,-0.30%,1411
"06/26/2023 07:00",592,592.75,588.75,589.25,-2.5,-0.42%,4374
"06/26/2023 06:30",587,592,585,591.75,4.75,+0.81%,3260
"06/26/2023 06:00",587.75,588.5,586.75,587,-0.75,-0.13%,944
"06/26/2023 05:30",589.5,589.75,587.5,587.75,-2,-0.34%,1152
"06/26/2023 05:00",587.75,589.75,587.25,589.75,2,+0.34%,1125
"06/26/2023 04:30",585,587.75,585,587.75,3,+0.51%,655
"06/26/2023 04:00",586,587,584.5,584.75,-1,-0.17%,944
"06/26/2023 03:30",588.5,589,585,585.75,-2.75,-0.47%,1047
"06/26/2023 03:00",586.75,588.5,586.25,588.5,1.5,+0.26%,876
"06/26/2023 02:30",584,587,582.5,587,3,+0.51%,1570
"06/26/2023 02:00",585.5,586.5,582.25,584,-2,-0.34%,1751
"06/26/2023 01:30",586.5,589,586,586,-0.5,-0.09%,1819
"06/26/2023 01:00",585.25,587,585,586.5,1.25,+0.21%,396
"06/26/2023 00:30",587,587.25,585.25,585.25,-2,-0.34%,587
"06/26/2023 00:00",586.25,587.25,585.25,587.25,1,+0.17%,882
"06/25/2023 23:30",586,586.75,585.75,586.25,0.25,+0.04%,289
"06/25/2023 23:00",585.75,586.25,585.75,586,0,0.00%,137
"06/25/2023 22:30",585.75,586.5,585.75,586,0.75,+0.13%,192
"06/25/2023 22:00",585.5,586.5,585,585.25,0.25,+0.04%,149
"06/25/2023 21:30",586.5,586.5,583.5,585,-1.5,-0.26%,493
"06/25/2023 21:00",586.5,586.75,585.5,586.5,0.25,+0.04%,398
"06/25/2023 20:30",586,588.25,585.75,586.25,0.25,+0.04%,1719
"06/25/2023 20:00",583.5,586.25,582,586,2.75,+0.47%,2602
"06/25/2023 19:30",580.25,583.5,580.25,583.25,3,+0.52%,2165
"06/25/2023 19:00",594,594,575.5,580.25,-4,-0.68%,19850
"06/23/2023 13:00",589,589.5,584,584.25,-4.75,-0.81%,18151
"06/23/2023 12:30",586.5,590.75,586.5,589,2.5,+0.43%,9261
"06/23/2023 12:00",587,588.75,586,586.5,-0.25,-0.04%,5865
"06/23/2023 11:30",585.25,587.5,583.5,586.75,1.5,+0.26%,8120
"06/23/2023 11:00",591.25,591.5,584.75,585.25,-6.25,-1.06%,10487
"06/23/2023 10:30",589.5,591.75,588.5,591.5,2,+0.34%,10145
"06/23/2023 10:00",589,590.5,586.5,589.5,0.5,+0.08%,9403
"06/23/2023 09:30",587.25,591,586,589,2,+0.34%,14403
"06/23/2023 09:00",593.5,595.25,584.25,587,-6.5,-1.10%,32250
"06/23/2023 08:30",599,603,591.25,593.5,-6.75,-1.12%,36278
"06/23/2023 07:30",600.75,601.25,599.5,600.25,-0.75,-0.12%,2552
"06/23/2023 07:00",602,602.5,599,601,-1,-0.17%,3805
"06/23/2023 06:30",606,606,601.5,602,-4,-0.66%,1944
"06/23/2023 06:00",602.5,606.5,602.5,606,3.5,+0.58%,1121
"06/23/2023 05:30",603.5,603.75,601.5,602.5,-1,-0.17%,1155
"06/23/2023 05:00",604.75,606.25,602.75,603.5,-1.25,-0.21%,2035
"06/23/2023 04:30",602,605.5,601.25,604.75,3,+0.50%,2549
"06/23/2023 04:00",601.5,602.25,598.75,601.75,0,0.00%,3783
"06/23/2023 03:30",605.25,605.25,601.5,601.75,-3.75,-0.62%,1887
"06/23/2023 03:00",606.25,606.75,604.5,605.5,-0.5,-0.08%,1276
"06/23/2023 02:30",605.5,606.5,604.75,606,0.5,+0.08%,1034
"06/23/2023 02:00",608.75,609.25,604.75,605.5,-3.25,-0.53%,3227
"06/23/2023 01:30",611.25,612.25,608.25,608.75,-2.25,-0.37%,1202
"06/23/2023 01:00",612,612.5,610.75,611,-1,-0.16%,528
"06/23/2023 00:30",610.25,612.5,610.25,612,2,+0.33%,887
"06/23/2023 00:00",609.75,610.75,609.25,610,0.25,+0.04%,1019
"06/22/2023 23:30",608,610.25,607.5,609.75,1.75,+0.29%,898
"06/22/2023 23:00",608.75,608.75,607.5,608,-0.75,-0.12%,1018
"06/22/2023 22:30",609,609.25,608.5,608.75,-0.5,-0.08%,380
"06/22/2023 22:00",609.5,609.75,609,609.25,0,0.00%,189
"06/22/2023 21:30",609.75,611,608.5,609.25,-0.25,-0.04%,1011
"06/22/2023 21:00",612.75,613,609.5,609.5,-3.5,-0.57%,2264
"06/22/2023 20:30",614.75,614.75,612.5,613,-2,-0.33%,824
"06/22/2023 20:00",615.5,616,614.5,615,-0.5,-0.08%,441
"06/22/2023 19:30",614,616.75,614,615.5,1.5,+0.24%,1029
"06/22/2023 19:00",616.5,616.75,612.5,614,-6.5,-1.05%,5820
"06/22/2023 13:00",620,621,618.25,620.5,0.75,+0.12%,11499
"06/22/2023 12:30",620.25,622.75,618.5,619.75,-0.5,-0.08%,8891
"06/22/2023 12:00",622.75,625.5,619,620.25,-2.5,-0.40%,11241
"06/22/2023 11:30",618.5,624.25,618.25,622.75,4.5,+0.73%,8404
"06/22/2023 11:00",619.75,621.25,618.25,618.25,-1.25,-0.20%,8363
"06/22/2023 10:30",615.75,620,614.5,619.5,3.5,+0.57%,8627
"06/22/2023 10:00",618,619.25,613.25,616,-2.25,-0.36%,11020
"06/22/2023 09:30",620.75,624.75,616.75,618.25,-2.5,-0.40%,12215
"06/22/2023 09:00",623.25,624,619.5,620.75,-2.25,-0.36%,14517
"06/22/2023 08:30",620,625.25,617.25,623,5,+0.81%,24845
"06/22/2023 07:30",617.25,618.5,616.5,618,0.75,+0.12%,1799
"06/22/2023 07:00",618.75,619.25,616.5,617.25,-1.75,-0.28%,3144
"06/22/2023 06:30",618.5,619.75,617,619,0.5,+0.08%,2157
"06/22/2023 06:00",619.75,620.5,617.25,618.5,-1.5,-0.24%,2807
